,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,pk_rolling,pkatt_rolling,Win
369,0,12,16,6,1.3333333333333333,1.3333333333333333,11.333333333333334,2.6666666666666665,17.5,0.6666666666666666,0.6666666666666666,0
370,1,6,14,6,0.6666666666666666,1.0,9.666666666666666,2.333333333333333,17.366666666666664,0.0,0.0,1
371,0,11,14,6,0.6666666666666666,1.0,10.333333333333334,2.6666666666666665,17.2,0.0,0.0,1
372,0,20,19,2,1.0,1.0,9.333333333333334,3.0,16.900000000000002,0.0,0.0,0
373,1,3,16,6,1.0,0.3333333333333333,11.666666666666666,4.333333333333333,16.133333333333336,0.0,0.0,0
374,1,7,19,3,1.3333333333333333,1.3333333333333333,11.666666666666666,4.333333333333333,16.0,0.3333333333333333,0.3333333333333333,1
375,0,0,16,6,1.6666666666666667,1.6666666666666667,12.333333333333334,5.0,17.566666666666666,0.3333333333333333,0.3333333333333333,0
376,1,6,17,5,2.0,3.333333333333333,9.0,4.0,17.866666666666664,0.3333333333333333,0.3333333333333333,0
377,0,1,12,5,1.3333333333333333,2.6666666666666665,8.666666666666666,3.6666666666666665,16.566666666666666,0.0,0.0,0
378,1,17,15,5,0.6666666666666666,2.6666666666666665,9.666666666666666,3.0,15.333333333333334,0.0,0.0,0
379,0,3,15,5,0.6666666666666666,1.3333333333333333,14.0,5.0,16.366666666666667,0.0,0.0,0
380,0,10,20,1,1.0,1.3333333333333333,16.0,6.333333333333333,17.433333333333334,0.0,0.0,0
381,1,12,12,5,1.0,1.0,13.333333333333334,5.666666666666667,18.86666666666667,0.0,0.0,0
382,1,21,14,6,0.6666666666666666,0.6666666666666666,11.666666666666666,4.0,17.099999999999998,0.0,0.0,1
383,0,18,15,5,0.6666666666666666,0.3333333333333333,9.333333333333334,2.333333333333333,18.666666666666668,0.0,0.0,1
384,1,14,19,6,1.0,0.3333333333333333,11.0,3.333333333333333,18.1,0.0,0.0,0
385,0,19,17,5,1.3333333333333333,1.0,10.0,3.0,18.73333333333333,0.0,0.0,0
386,0,15,19,2,1.0,1.6666666666666667,9.0,2.333333333333333,16.099999999999998,0.0,0.0,0
387,1,7,15,5,0.3333333333333333,1.6666666666666667,5.333333333333333,0.6666666666666666,12.8,0.0,0.0,1
388,0,9,17,5,1.0,1.0,4.666666666666667,2.0,12.6,0.0,0.0,0
389,1,11,17,5,1.0,0.3333333333333333,6.333333333333333,3.333333333333333,12.166666666666666,0.0,0.0,0
390,0,2,15,5,1.0,0.6666666666666666,10.0,4.0,13.966666666666669,0.0,0.0,0
391,0,0,17,5,1.6666666666666667,1.3333333333333333,11.333333333333334,4.333333333333333,16.566666666666666,0.3333333333333333,0.6666666666666666,0
392,1,4,19,1,1.3333333333333333,1.3333333333333333,12.333333333333334,4.666666666666667,14.966666666666669,0.0,0.3333333333333333,1
393,0,19,15,5,2.0,1.6666666666666667,13.0,5.0,14.833333333333334,0.0,0.0,0
394,0,17,20,4,1.3333333333333333,1.6666666666666667,10.0,3.0,15.366666666666667,0.0,0.0,1
395,1,15,15,5,2.0,1.6666666666666667,11.333333333333334,4.333333333333333,16.566666666666666,0.0,0.0,0
396,0,21,14,6,1.6666666666666667,2.6666666666666665,9.0,3.6666666666666665,16.866666666666667,0.0,0.0,0
397,1,2,15,5,1.6666666666666667,3.0,8.666666666666666,3.333333333333333,16.7,0.0,0.0,0
398,1,1,19,3,1.3333333333333333,3.0,9.666666666666666,2.0,17.23333333333333,0.3333333333333333,0.3333333333333333,1
399,0,10,14,6,2.0,1.6666666666666667,14.333333333333334,3.6666666666666665,17.400000000000002,0.6666666666666666,0.6666666666666666,1
400,1,8,17,5,2.6666666666666665,1.3333333333333333,15.333333333333334,4.333333333333333,15.833333333333334,0.6666666666666666,0.6666666666666666,0
401,0,13,15,5,2.0,0.6666666666666666,17.333333333333332,5.333333333333333,15.0,0.3333333333333333,0.3333333333333333,0
402,1,12,16,6,1.3333333333333333,2.6666666666666665,13.0,3.0,19.433333333333334,0.0,0.0,0
403,0,15,20,4,1.0,2.0,12.666666666666666,3.333333333333333,17.400000000000002,0.0,0.0,0
404,1,21,15,5,0.6666666666666666,1.6666666666666667,14.333333333333334,5.0,17.233333333333334,0.0,0.0,0
405,1,20,15,5,0.6666666666666666,2.0,15.333333333333334,6.0,18.366666666666664,0.0,0.0,1
406,0,18,15,5,1.0,1.0,19.0,5.666666666666667,19.566666666666663,0.0,0.0,0
407,1,22,15,5,0.6666666666666666,1.0,12.666666666666666,2.6666666666666665,20.0,0.0,0.0,0
408,0,16,14,6,0.6666666666666666,0.6666666666666666,13.333333333333334,2.0,19.9,0.3333333333333333,0.3333333333333333,1
409,1,11,14,6,1.0,1.0,11.0,2.6666666666666665,20.6,0.3333333333333333,0.3333333333333333,0
410,0,19,16,6,1.3333333333333333,1.0,16.0,4.333333333333333,19.266666666666666,0.3333333333333333,0.3333333333333333,0
